AMKA	Name	Surname	Personnel_Type
20000000007	Giorgos	Apostolou	Doctor
20000000006	Sofia	Dimitriou	Doctor
20000000016	Alexandra	Fotiou	Doctor
20000000003	Dimitris	Georgiou	Doctor
20000000005	Nikos	Ioannou	Doctor
20000000004	Maria	Konstantinou	Doctor
20000000014	Vasiliki	Koutra	Doctor
20000000011	Christos	Lambrou	Doctor
20000000010	Anna	Markou	Doctor
20000000015	Stavros	Mylonas	Doctor
20000000002	Eleni	Nikolaou	Doctor
20000000018	Daphne	Oikonomou	Doctor
20000000001	Andreas	Papadopoulos	Doctor
20000000008	Katerina	Pappa	Doctor
20000000013	Panagiotis	Rallis	Doctor
20000000017	Michalis	Sarris	Doctor
20000000012	Irene	Stamatiou	Doctor
20000000009	Petros	Vasileiou	Doctor
30000000010	Marios	Alexiou	Nurse
30000000020	Marios	Alexiou	Nurse
30000000030	Marios	Alexiou	Nurse
30000000001	Eva	Beka	Nurse
30000000011	Eva	Beka	Nurse
30000000021	Eva	Beka	Nurse
30000000031	Eva	Beka	Nurse
30000000002	Thanos	Chatzis	Nurse
30000000012	Thanos	Chatzis	Nurse
30000000022	Thanos	Chatzis	Nurse
30000000032	Thanos	Chatzis	Nurse
30000000003	Lydia	Drosou	Nurse
30000000013	Lydia	Drosou	Nurse
30000000023	Lydia	Drosou	Nurse
30000000033	Lydia	Drosou	Nurse
30000000004	Pavlos	Efthimiou	Nurse
30000000014	Pavlos	Efthimiou	Nurse
30000000024	Pavlos	Efthimiou	Nurse
30000000034	Pavlos	Efthimiou	Nurse
30000000006	Aris	Iliou	Nurse
30000000016	Aris	Iliou	Nurse
30000000026	Aris	Iliou	Nurse
30000000007	Rania	Karagianni	Nurse
30000000017	Rania	Karagianni	Nurse
30000000027	Rania	Karagianni	Nurse
30000000008	Manolis	Leventis	Nurse
30000000018	Manolis	Leventis	Nurse
30000000028	Manolis	Leventis	Nurse
30000000009	Ioanna	Xenou	Nurse
30000000019	Ioanna	Xenou	Nurse
30000000029	Ioanna	Xenou	Nurse
30000000005	Nefeli	Zervas	Nurse
30000000015	Nefeli	Zervas	Nurse
30000000025	Nefeli	Zervas	Nurse
30000000035	Nefeli	Zervas	Nurse
30000000040	Marios	Alexiou	Staff
30000000050	Marios	Alexiou	Staff
30000000060	Marios	Alexiou	Staff
30000000041	Eva	Beka	Staff
30000000051	Eva	Beka	Staff
30000000042	Thanos	Chatzis	Staff
30000000052	Thanos	Chatzis	Staff
30000000043	Lydia	Drosou	Staff
30000000053	Lydia	Drosou	Staff
30000000044	Pavlos	Efthimiou	Staff
30000000054	Pavlos	Efthimiou	Staff
30000000036	Aris	Iliou	Staff
30000000046	Aris	Iliou	Staff
30000000056	Aris	Iliou	Staff
30000000037	Rania	Karagianni	Staff
30000000047	Rania	Karagianni	Staff
30000000057	Rania	Karagianni	Staff
30000000038	Manolis	Leventis	Staff
30000000048	Manolis	Leventis	Staff
30000000058	Manolis	Leventis	Staff
30000000039	Ioanna	Xenou	Staff
30000000049	Ioanna	Xenou	Staff
30000000059	Ioanna	Xenou	Staff
30000000045	Nefeli	Zervas	Staff
30000000055	Nefeli	Zervas	Staff
