Doctor_AMKA	Doctor_Name	Doctor_Surname	Level	Hierarchy_Member_AMKA	Hierarchy_Member_Name	Hierarchy_Member_Surname	Rank
20000000001	Andreas	Papadopoulos	0	20000000001	Andreas	Papadopoulos	Director
20000000002	Eleni	Nikolaou	0	20000000002	Eleni	Nikolaou	Director
20000000003	Dimitris	Georgiou	0	20000000003	Dimitris	Georgiou	Director
20000000004	Maria	Konstantinou	0	20000000004	Maria	Konstantinou	Director
20000000005	Nikos	Ioannou	0	20000000005	Nikos	Ioannou	Attending A
20000000005	Nikos	Ioannou	1	20000000001	Andreas	Papadopoulos	Director
20000000006	Sofia	Dimitriou	0	20000000006	Sofia	Dimitriou	Attending B
20000000006	Sofia	Dimitriou	1	20000000001	Andreas	Papadopoulos	Director
20000000007	Giorgos	Apostolou	0	20000000007	Giorgos	Apostolou	Attending A
20000000007	Giorgos	Apostolou	1	20000000002	Eleni	Nikolaou	Director
20000000008	Katerina	Pappa	0	20000000008	Katerina	Pappa	Resident
20000000008	Katerina	Pappa	1	20000000007	Giorgos	Apostolou	Attending A
20000000008	Katerina	Pappa	2	20000000002	Eleni	Nikolaou	Director
20000000009	Petros	Vasileiou	0	20000000009	Petros	Vasileiou	Attending A
20000000009	Petros	Vasileiou	1	20000000003	Dimitris	Georgiou	Director
20000000010	Anna	Markou	0	20000000010	Anna	Markou	Resident
20000000010	Anna	Markou	1	20000000009	Petros	Vasileiou	Attending A
20000000010	Anna	Markou	2	20000000003	Dimitris	Georgiou	Director
20000000011	Christos	Lambrou	0	20000000011	Christos	Lambrou	Attending A
20000000011	Christos	Lambrou	1	20000000004	Maria	Konstantinou	Director
20000000012	Irene	Stamatiou	0	20000000012	Irene	Stamatiou	Resident
20000000012	Irene	Stamatiou	1	20000000011	Christos	Lambrou	Attending A
20000000012	Irene	Stamatiou	2	20000000004	Maria	Konstantinou	Director
20000000013	Panagiotis	Rallis	0	20000000013	Panagiotis	Rallis	Attending A
20000000013	Panagiotis	Rallis	1	20000000005	Nikos	Ioannou	Attending A
20000000013	Panagiotis	Rallis	2	20000000001	Andreas	Papadopoulos	Director
20000000014	Vasiliki	Koutra	0	20000000014	Vasiliki	Koutra	Resident
20000000014	Vasiliki	Koutra	1	20000000006	Sofia	Dimitriou	Attending B
20000000014	Vasiliki	Koutra	2	20000000001	Andreas	Papadopoulos	Director
20000000015	Stavros	Mylonas	0	20000000015	Stavros	Mylonas	Resident
20000000015	Stavros	Mylonas	1	20000000007	Giorgos	Apostolou	Attending A
20000000015	Stavros	Mylonas	2	20000000002	Eleni	Nikolaou	Director
20000000016	Alexandra	Fotiou	0	20000000016	Alexandra	Fotiou	Director
20000000017	Michalis	Sarris	0	20000000017	Michalis	Sarris	Attending A
20000000017	Michalis	Sarris	1	20000000016	Alexandra	Fotiou	Director
20000000018	Daphne	Oikonomou	0	20000000018	Daphne	Oikonomou	Director
